provider_sk,provider_id,speciality,npi_number
19769,PROV0350,Surgery,7439696341
19770,PROV0119,Surgery,9083764731
19771,PROV0014,Internal Medicine,8488419627
19772,PROV0424,Internal Medicine,9146572746
19773,PROV0164,General Practice,4772516839
19774,PROV0476,General Practice,5026707392
19775,PROV0189,General Practice,9836287006
19776,PROV0361,Internal Medicine,1906993597
19777,PROV0364,General Practice,8684272134
19778,PROV0254,Pediatrics,8382733626
19779,PROV0441,Neurology,1419161237
19780,PROV0009,Pediatrics,8520000769
19781,PROV0497,Internal Medicine,7311699308
19782,PROV0012,Orthopedics,5874188206
19783,PROV0399,General Practice,9386038354
19784,PROV0100,General Practice,1687595438
19785,PROV0263,Orthopedics,9820542382
19786,PROV0347,Internal Medicine,1494938716
19787,PROV0098,General Practice,7713246405
19788,PROV0061,Pediatrics,1575868384
19789,PROV0250,Internal Medicine,1782652677
19790,PROV0174,Internal Medicine,7563106909
19791,PROV0005,Internal Medicine,7865313388
19792,PROV0333,Radiology,2232296175
19793,PROV0021,Surgery,3837469990
19794,PROV0105,General Practice,8449048245
19795,PROV0410,Neurology,9974132923
19796,PROV0476,Neurology,9023675009
19797,PROV0133,Cardiology,8879654763
19798,PROV0220,Internal Medicine,8687574503
19799,PROV0470,Oncology,4731981249
19800,PROV0005,Radiology,1077151529
19801,PROV0500,General Practice,6068079045
19802,PROV0474,Radiology,2140258280
19803,PROV0459,Oncology,3387007413
19804,PROV0147,Internal Medicine,1870493134
19805,PROV0425,Internal Medicine,9935939515
19806,PROV0182,Radiology,5529341731
19807,PROV0172,Orthopedics,3883748528
19808,PROV0168,Pediatrics,4828018549
19809,PROV0029,Orthopedics,2954922859
19810,PROV0296,Surgery,6141621594
19811,PROV0219,Surgery,1969805965
19812,PROV0229,General Practice,5899062343
19813,PROV0043,General Practice,4175695750
19814,PROV0146,Pediatrics,7404757509
19815,PROV0051,Cardiology,9049263205
19816,PROV0076,Oncology,1626202630
19817,PROV0241,General Practice,6978258648
19818,PROV0380,Internal Medicine,5632101707
19819,PROV0475,Pediatrics,8709392922
19820,PROV0119,Orthopedics,2342692161
19821,PROV0307,Orthopedics,5361981257
19822,PROV0321,Oncology,8570914568
19823,PROV0428,General Practice,2027664724
19824,PROV0090,Internal Medicine,1646956032
19825,PROV0401,Oncology,3271577572
19826,PROV0221,General Practice,5837982442
19827,PROV0327,Cardiology,2358677062
19828,PROV0169,Internal Medicine,7893675003
19829,PROV0310,Cardiology,1819380816
19830,PROV0335,General Practice,2616991109
19831,PROV0199,General Practice,8631625939
19832,PROV0496,Pediatrics,6707526710
19833,PROV0308,Orthopedics,7364458375
19834,PROV0434,Dermatology,5124529557
19835,PROV0359,Dermatology,5680515791
19836,PROV0233,Radiology,9501259615
19837,PROV0110,Orthopedics,6424791468
19838,PROV0287,Surgery,7428632260
19839,PROV0174,Oncology,5622433189
19840,PROV0480,Surgery,7365665235
19841,PROV0210,General Practice,6617882834
19842,PROV0052,General Practice,4179680902
19843,PROV0307,Radiology,5188690391
19844,PROV0224,Internal Medicine,2850083140
19845,PROV0371,Orthopedics,1730419849
19846,PROV0455,General Practice,6859633963
19847,PROV0143,Neurology,3854660670
19848,PROV0105,Oncology,8538972833
19849,PROV0430,Internal Medicine,9807607329
19850,PROV0474,Dermatology,6357714545
19851,PROV0076,General Practice,3874004268
19852,PROV0433,Orthopedics,8622419419
19853,PROV0360,Internal Medicine,7220883720
19854,PROV0144,Internal Medicine,9022778348
19855,PROV0106,Surgery,9767729494
19856,PROV0120,Surgery,6943087621
19857,PROV0063,Internal Medicine,1194814626
19858,PROV0331,Surgery,2705234140
19859,PROV0138,Dermatology,2109754160
19860,PROV0407,General Practice,1666302168
19861,PROV0413,Internal Medicine,8246860010
19862,PROV0035,General Practice,1890701051
19863,PROV0445,Oncology,9272650040
19864,PROV0435,Radiology,1600810420
19865,PROV0381,General Practice,6655219972
19866,PROV0236,General Practice,8997188561
19867,PROV0332,General Practice,5993625940
19868,PROV0470,Pediatrics,1248449273
19869,PROV0356,Internal Medicine,2749812932
19870,PROV0368,General Practice,6415004573
19871,PROV0067,Internal Medicine,3548179018
19872,PROV0423,Orthopedics,1686939228
19873,PROV0352,Radiology,7589538888
19874,PROV0310,Dermatology,1331260091
19875,PROV0122,Surgery,1848734101
19876,PROV0287,Orthopedics,1173716833
19877,PROV0039,Radiology,4647213848
19878,PROV0390,Oncology,3028067060
19879,PROV0261,Internal Medicine,9035226490
19880,PROV0227,Neurology,1867078766
19881,PROV0350,Orthopedics,2161429998
19882,PROV0314,General Practice,8824606253
19883,PROV0284,General Practice,5071401787
19884,PROV0434,Oncology,8422595936
19885,PROV0217,General Practice,3270062241
19886,PROV0155,General Practice,7554220490
19887,PROV0077,Cardiology,2299852165
19888,PROV0484,Oncology,8924400589
19889,PROV0296,Internal Medicine,5902870202
19890,PROV0223,Oncology,4480249856
19891,PROV0005,General Practice,6014194593
19892,PROV0138,Internal Medicine,3060802505
19893,PROV0021,Oncology,8744124614
19894,PROV0059,Internal Medicine,1994037906
19895,PROV0053,Cardiology,7495085999
19896,PROV0280,Neurology,4126654011
19897,PROV0241,Cardiology,3793437347
19898,PROV0087,General Practice,3622580800
19899,PROV0289,General Practice,4137117896
19900,PROV0400,Surgery,8742039407
19901,PROV0411,Internal Medicine,4051288725
19902,PROV0478,Pediatrics,3963714300
19903,PROV0392,General Practice,1630446814
19904,PROV0030,General Practice,1784551396
19905,PROV0487,Dermatology,3931931706
19906,PROV0228,General Practice,9637577970
19907,PROV0059,Surgery,5551679765
19908,PROV0465,Oncology,8852847754
19909,PROV0497,Internal Medicine,3719874153
19910,PROV0069,Internal Medicine,2485576802
19911,PROV0242,Pediatrics,2380473965
19912,PROV0482,Neurology,1142260753
19913,PROV0238,General Practice,6423116074
19914,PROV0273,Cardiology,8932228187
19915,PROV0020,Dermatology,3315633350
19916,PROV0155,Pediatrics,9766779347
19917,PROV0382,Cardiology,6964534274
19918,PROV0002,General Practice,1893233446
19919,PROV0032,Pediatrics,2464503486
19920,PROV0282,Dermatology,4843192503
19921,PROV0059,General Practice,3804333921
19922,PROV0028,General Practice,9373165900
19923,PROV0093,General Practice,4719157016
19924,PROV0381,Oncology,2529200132
19925,PROV0119,General Practice,5324580015
19926,PROV0037,Surgery,7354829686
19927,PROV0437,Orthopedics,5816065496
19928,PROV0345,Orthopedics,9708198045
19929,PROV0201,Internal Medicine,1800376185
19930,PROV0161,Internal Medicine,8975282550
19931,PROV0241,Surgery,9080987906
19932,PROV0317,General Practice,5399286473
19933,PROV0095,Neurology,7050162559
19934,PROV0072,General Practice,3922383380
19935,PROV0452,Internal Medicine,9308055272
19936,PROV0256,Neurology,7515912594
19937,PROV0014,Surgery,3623628179
19938,PROV0413,Internal Medicine,5841967616
19939,PROV0044,Internal Medicine,9046213547
19940,PROV0379,Cardiology,6665550216
19941,PROV0197,Internal Medicine,3681760138
19942,PROV0040,Neurology,4292011125
19943,PROV0372,Internal Medicine,4692779799
19944,PROV0134,General Practice,5283753510
19945,PROV0079,Orthopedics,5903186579
19946,PROV0151,Surgery,1407860342
19947,PROV0221,Internal Medicine,7050544426
19948,PROV0256,Surgery,9058925567
19949,PROV0381,Oncology,9899208103
19950,PROV0064,Pediatrics,2736592534
19951,PROV0080,General Practice,6969155607
19952,PROV0027,Orthopedics,1937748679
19953,PROV0142,Internal Medicine,8013464176
19954,PROV0279,General Practice,6146172174
19955,PROV0461,Pediatrics,6166035643
19956,PROV0290,General Practice,3261097346
19957,PROV0133,Cardiology,3669426909
19958,PROV0076,Internal Medicine,1151985389
19959,PROV0377,General Practice,4167712628
19960,PROV0445,Internal Medicine,3581000059
19961,PROV0395,Cardiology,1364592028
19962,PROV0351,Neurology,7617601445
19963,PROV0156,Dermatology,8402102349
19964,PROV0026,Internal Medicine,1216213420
19965,PROV0010,Internal Medicine,5090550732
19966,PROV0020,General Practice,7019476428
19967,PROV0457,General Practice,6341253494
19968,PROV0458,Surgery,6843378604
19969,PROV0202,Cardiology,8723748687
19970,PROV0059,Orthopedics,7417692529
19971,PROV0120,Orthopedics,9476978153
19972,PROV0294,Oncology,3881745882
19973,PROV0452,General Practice,7322667376
19974,PROV0359,General Practice,2679922986
19975,PROV0038,Cardiology,4296425704
19976,PROV0209,Cardiology,4433888418
19977,PROV0215,Neurology,9344729820
19978,PROV0378,Dermatology,4165506960
19979,PROV0258,General Practice,3355645708
19980,PROV0253,Internal Medicine,8310696272
19981,PROV0478,Internal Medicine,8387033745
19982,PROV0124,Pediatrics,1851079527
19983,PROV0265,Orthopedics,3294596531
19984,PROV0018,Radiology,9109640880
19985,PROV0462,Neurology,6530434567
19986,PROV0220,Orthopedics,6509879714
19987,PROV0113,General Practice,9021779045
19988,PROV0169,Internal Medicine,6369738645
19989,PROV0079,Internal Medicine,1118928635
19990,PROV0374,General Practice,3176065678
19991,PROV0231,Radiology,5136046508
19992,PROV0288,Cardiology,3944780218
19993,PROV0308,Internal Medicine,8060019417
19994,PROV0113,General Practice,4466902094
19995,PROV0390,Surgery,1960582171
19996,PROV0485,General Practice,7869533072
19997,PROV0085,Internal Medicine,7073084503
19998,PROV0152,Oncology,3286626009
19999,PROV0482,Internal Medicine,9885659596
20000,PROV0181,Orthopedics,8465456403
20001,PROV0419,Pediatrics,4517826859
20002,PROV0146,Neurology,6289062800
20003,PROV0040,Orthopedics,4792990247
20004,PROV0375,General Practice,8408497207
20005,PROV0262,Pediatrics,3366954893
20006,PROV0406,General Practice,1644734272
20007,PROV0413,Cardiology,8578009949
20008,PROV0389,Internal Medicine,7178689831
20009,PROV0325,Oncology,1005760433
20010,PROV0211,Radiology,4031183250
20011,PROV0414,Surgery,8831393957
20012,PROV0087,Cardiology,1104815827
20013,PROV0140,Cardiology,9606303538
20014,PROV0204,Internal Medicine,9804611268
20015,PROV0333,Internal Medicine,2870987724
20016,PROV0061,Internal Medicine,7261074201
20017,PROV0147,Surgery,1702081703
20018,PROV0104,Cardiology,2648252931
20019,PROV0204,General Practice,8841991100
20020,PROV0417,Oncology,6642300319
20021,PROV0455,Orthopedics,5881340928
20022,PROV0430,General Practice,1277169651
20023,PROV0273,Internal Medicine,5792329786
20024,PROV0388,Internal Medicine,3432755669
20025,PROV0286,Surgery,1703049007
20026,PROV0305,General Practice,1739655421
20027,PROV0234,General Practice,1910718043
20028,PROV0419,Neurology,5141051122
20029,PROV0443,Orthopedics,6360951484
20030,PROV0207,Dermatology,1028461258
20031,PROV0096,Neurology,4488198601
20032,PROV0432,Pediatrics,9280207618
20033,PROV0171,Orthopedics,3154548560
20034,PROV0322,Surgery,1691711516
20035,PROV0318,Internal Medicine,8727701673
20036,PROV0063,Internal Medicine,2118827005
20037,PROV0443,Internal Medicine,5047427638
20038,PROV0407,General Practice,7729319613
20039,PROV0045,Internal Medicine,6395350998
20040,PROV0061,Neurology,5205645088
20041,PROV0386,Neurology,2110257925
20042,PROV0489,Pediatrics,5268767651
20043,PROV0200,Pediatrics,5964493289
20044,PROV0251,Orthopedics,1577596060
20045,PROV0396,General Practice,1711665093
20046,PROV0498,Internal Medicine,1404765954
20047,PROV0300,Oncology,5890659847
20048,PROV0400,Cardiology,1382519698
20049,PROV0168,Internal Medicine,7911463660
20050,PROV0324,General Practice,6515575966
20051,PROV0392,General Practice,4388195053
20052,PROV0197,Orthopedics,1090520080
20053,PROV0333,General Practice,5739661034
20054,PROV0329,Neurology,4404159214
20055,PROV0073,Radiology,9895723435
20056,PROV0313,General Practice,2188771387
20057,PROV0393,Internal Medicine,4973995747
20058,PROV0278,Surgery,7765889348
20059,PROV0477,Internal Medicine,1897265195
20060,PROV0462,General Practice,7798662589
20061,PROV0224,General Practice,9596680882
20062,PROV0295,General Practice,3941322706
20063,PROV0385,Radiology,7018924931
20064,PROV0419,Orthopedics,7091083048
20065,PROV0063,Cardiology,6629001781
20066,PROV0412,Oncology,1206197667
20067,PROV0366,Internal Medicine,4042622416
20068,PROV0421,Internal Medicine,2127763248
20069,PROV0348,Cardiology,4030795854
20070,PROV0213,Dermatology,9730838821
20071,PROV0385,General Practice,4012928778
20072,PROV0320,General Practice,5763838334
20073,PROV0035,Radiology,2518733560
20074,PROV0389,Orthopedics,1370106532
20075,PROV0434,General Practice,7783424684
20076,PROV0008,Neurology,3106191608
20077,PROV0500,Radiology,9766927957
20078,PROV0047,General Practice,3891569373
20079,PROV0018,Orthopedics,5016108632
20080,PROV0038,Pediatrics,4145586002
20081,PROV0010,Internal Medicine,8918452237
20082,PROV0268,Internal Medicine,4419184292
20083,PROV0433,Surgery,4659890207
20084,PROV0334,General Practice,5013922942
20085,PROV0487,Internal Medicine,4462516510
20086,PROV0294,Internal Medicine,2929515149
20087,PROV0090,Orthopedics,2568580830
20088,PROV0015,Radiology,5783769283
20089,PROV0400,Oncology,2935388578
20090,PROV0365,Internal Medicine,8881652395
20091,PROV0145,Neurology,3026014285
20092,PROV0157,Internal Medicine,3997893214
20093,PROV0243,Radiology,5802964006
20094,PROV0039,Internal Medicine,1585342864
20095,PROV0463,Pediatrics,6339870987
20096,PROV0340,Neurology,3616647823
20097,PROV0210,General Practice,6481806112
20098,PROV0485,Pediatrics,1103372058
20099,PROV0204,General Practice,1248900668
20100,PROV0004,Pediatrics,9756767870
20101,PROV0408,Internal Medicine,8071940962
20102,PROV0209,Neurology,2151187209
20103,PROV0167,Internal Medicine,5663396141
20104,PROV0140,Orthopedics,1488516304
20105,PROV0422,Orthopedics,5374380708
20106,PROV0050,General Practice,3111555405
20107,PROV0182,General Practice,4832787172
20108,PROV0178,Cardiology,6916283411
20109,PROV0143,Pediatrics,9992761414
20110,PROV0276,Cardiology,5527732681
20111,PROV0456,Internal Medicine,2947575267
20112,PROV0067,Oncology,6042995548
20113,PROV0423,Radiology,2291923566
20114,PROV0003,General Practice,5455747217
20115,PROV0151,Internal Medicine,6390003937
20116,PROV0463,Neurology,4372658543
20117,PROV0494,Cardiology,3052120485
20118,PROV0454,Surgery,6313185764
20119,PROV0278,Pediatrics,2588723164
20120,PROV0207,Pediatrics,6156355002
20121,PROV0309,Radiology,9462777262
20122,PROV0429,General Practice,1494813551
20123,PROV0422,Internal Medicine,1001383079
20124,PROV0470,General Practice,5215836958
20125,PROV0445,Internal Medicine,6844413505
20126,PROV0119,Neurology,9289687102
20127,PROV0485,Internal Medicine,5200092359
20128,PROV0442,General Practice,8779232777
20129,PROV0351,Surgery,1721643345
20130,PROV0345,Neurology,4659462973
20131,PROV0474,General Practice,8456532920
20132,PROV0484,Oncology,1147421209
20133,PROV0346,General Practice,3957799757
20134,PROV0162,Dermatology,5917764563
20135,PROV0323,Internal Medicine,3886831918
20136,PROV0372,Internal Medicine,9130244973
20137,PROV0132,Pediatrics,3151617935
20138,PROV0153,General Practice,7442183157
20139,PROV0025,Orthopedics,8782457917
20140,PROV0232,Pediatrics,4371363534
20141,PROV0499,Radiology,8943060945
20142,PROV0421,Internal Medicine,5769220979
20143,PROV0055,Internal Medicine,7990607123
20144,PROV0316,Orthopedics,7007011097
20145,PROV0450,Radiology,7843350027
20146,PROV0401,Cardiology,4090312688
20147,PROV0498,Dermatology,7309866199
20148,PROV0294,Dermatology,7448604709
20149,PROV0066,Internal Medicine,5929052973
20150,PROV0116,Orthopedics,5726713440
20151,PROV0084,Internal Medicine,3813355659
20152,PROV0179,Internal Medicine,9409864992
20153,PROV0368,Internal Medicine,1186462669
20154,PROV0415,Surgery,1010997773
20155,PROV0176,Orthopedics,4122263737
20156,PROV0014,Neurology,6538441766
20157,PROV0183,Internal Medicine,4979195636
20158,PROV0258,General Practice,6511845517
20159,PROV0193,Internal Medicine,2714331818
20160,PROV0307,Surgery,6556420692
20161,PROV0249,Surgery,4575824174
20162,PROV0407,Cardiology,9255933563
20163,PROV0379,Neurology,6420534601
20164,PROV0112,Internal Medicine,9842446023
20165,PROV0085,Neurology,7902804492
20166,PROV0165,General Practice,2150562583
20167,PROV0001,General Practice,6110823806
20168,PROV0439,Radiology,5319424090
20169,PROV0178,Orthopedics,9377689014
20170,PROV0376,Surgery,1381551775
20171,PROV0037,Internal Medicine,1426880137
20172,PROV0029,Internal Medicine,1278752706
20173,PROV0033,General Practice,3977901793
20174,PROV0033,Internal Medicine,8165433957
20175,PROV0369,Orthopedics,6636081539
20176,PROV0499,Neurology,1762143517
20177,PROV0307,Internal Medicine,1829025082
20178,PROV0343,Internal Medicine,8959196631
20179,PROV0391,Orthopedics,2564463611
20180,PROV0446,Oncology,4165520182
20181,PROV0111,Surgery,7156135432
20182,PROV0384,General Practice,7373416831
20183,PROV0191,Neurology,1890499298
20184,PROV0431,Orthopedics,1241729914
20185,PROV0316,Cardiology,1374687048
20186,PROV0459,Internal Medicine,3378571560
20187,PROV0134,Orthopedics,8965839155
20188,PROV0354,General Practice,9367331122
20189,PROV0486,Oncology,6280107403
20190,PROV0470,General Practice,3238727481
20191,PROV0178,General Practice,8704067201
20192,PROV0028,General Practice,4600170778
20193,PROV0436,Internal Medicine,3380426844
20194,PROV0140,Orthopedics,7180253075
20195,PROV0247,General Practice,6084825597
20196,PROV0479,Orthopedics,6167541114
20197,PROV0008,Internal Medicine,3472731945
20198,PROV0469,Surgery,4204356866
20199,PROV0184,Radiology,4352181446
20200,PROV0292,General Practice,3584711573
20201,PROV0215,Orthopedics,6686927714
20202,PROV0149,Internal Medicine,8268310830
20203,PROV0452,Oncology,4937227770
20204,PROV0396,General Practice,4617244428
20205,PROV0280,General Practice,1921956597
20206,PROV0307,Internal Medicine,1265722908
20207,PROV0386,Orthopedics,9672334134
20208,PROV0340,Surgery,8429164425
20209,PROV0363,Neurology,4591275672
20210,PROV0460,General Practice,8244721426
20211,PROV0486,Internal Medicine,2174811952
20212,PROV0122,Pediatrics,3302202835
20213,PROV0016,Internal Medicine,7510946615
20214,PROV0148,Internal Medicine,9987909037
20215,PROV0140,General Practice,8352268260
20216,PROV0045,Orthopedics,6702186407
20217,PROV0244,Cardiology,9360277329
20218,PROV0404,Orthopedics,2680518271
20219,PROV0488,Neurology,9784415868
20220,PROV0125,General Practice,7442980478
20221,PROV0375,Internal Medicine,6719493615
20222,PROV0280,Cardiology,1870163913
20223,PROV0113,Cardiology,3134088636
20224,PROV0352,General Practice,8928515674
20225,PROV0277,Surgery,7798380186
20226,PROV0392,Pediatrics,2109833352
20227,PROV0288,Orthopedics,7283698145
20228,PROV0157,General Practice,9807361388
20229,PROV0068,Neurology,7490006448
20230,PROV0194,Dermatology,1481885781
20231,PROV0420,Surgery,7464740740
20232,PROV0209,General Practice,3609516868
20233,PROV0464,Internal Medicine,7812957212
20234,PROV0298,General Practice,7922218624
20235,PROV0251,Surgery,8874873586
20236,PROV0496,Pediatrics,5961004816
20237,PROV0252,Pediatrics,7846678858
20238,PROV0308,Orthopedics,5793436813
20239,PROV0060,Internal Medicine,5672345650
20240,PROV0380,Surgery,3159061063
20241,PROV0124,General Practice,6991761511
20242,PROV0434,Internal Medicine,8674511512
20243,PROV0020,Internal Medicine,6160081845
20244,PROV0406,Radiology,9425151931
20245,PROV0394,Orthopedics,2240429776
20246,PROV0354,Oncology,6223092793
20247,PROV0035,General Practice,2433635624
20248,PROV0265,Internal Medicine,2551636684
20249,PROV0234,Internal Medicine,3114854731
20250,PROV0016,Internal Medicine,5707922067
20251,PROV0314,General Practice,5473735935
20252,PROV0299,Internal Medicine,3678543656
20253,PROV0096,Orthopedics,3033464900
20254,PROV0075,General Practice,8682010970
20255,PROV0353,General Practice,8842863802
20256,PROV0429,Internal Medicine,3976842624
20257,PROV0312,General Practice,5603157183
20258,PROV0435,Orthopedics,8577850281
20259,PROV0064,General Practice,4398745968
20260,PROV0053,Internal Medicine,8705135573
20261,PROV0469,Internal Medicine,1511730811
20262,PROV0426,Oncology,4565021153
20263,PROV0107,Dermatology,6683212027
20264,PROV0437,Internal Medicine,4997776568
20265,PROV0350,Oncology,5771025812
20266,PROV0037,General Practice,8331378197
20267,PROV0472,Cardiology,3455517414
20268,PROV0308,Internal Medicine,4871683725
20269,PROV0135,Neurology,3009414120
20270,PROV0455,Orthopedics,7807429894
20271,PROV0406,Radiology,8277977735
20272,PROV0322,Internal Medicine,5850954894
20273,PROV0114,Oncology,1101434812
20274,PROV0092,Pediatrics,4460627001
20275,PROV0179,Radiology,1189686815
20276,PROV0386,General Practice,2803597289
20277,PROV0460,General Practice,5669704461
20278,PROV0024,General Practice,6767291020
20279,PROV0214,Orthopedics,3931202638
20280,PROV0248,Pediatrics,9445257633
20281,PROV0269,Dermatology,8407804504
20282,PROV0018,Oncology,9057518897
20283,PROV0107,Cardiology,2241876342
20284,PROV0144,General Practice,4441652311
20285,PROV0398,Cardiology,4463180063
20286,PROV0197,Radiology,3191928996
20287,PROV0436,General Practice,1680911008
20288,PROV0393,Surgery,2094052793
20289,PROV0452,Orthopedics,6214102834
20290,PROV0353,Surgery,3812956140
20291,PROV0487,Pediatrics,6299351707
20292,PROV0027,Surgery,3080820344
20293,PROV0241,Internal Medicine,2628884926
20294,PROV0340,Internal Medicine,5151374024
20295,PROV0338,Radiology,3880600261
20296,PROV0023,General Practice,7410449762
20297,PROV0076,General Practice,9065319308
20298,PROV0134,General Practice,6893110691
20299,PROV0067,Cardiology,5540668604
20300,PROV0471,General Practice,9023705349
20301,PROV0143,Cardiology,2893189503
20302,PROV0427,General Practice,7810963338
20303,PROV0483,Pediatrics,7595386760
20304,PROV0104,Pediatrics,2579619665
20305,PROV0005,Cardiology,3636412169
20306,PROV0213,General Practice,3817052666
20307,PROV0109,Radiology,3269315535
20308,PROV0040,General Practice,2006768653
20309,PROV0048,Cardiology,1437975206
20310,PROV0470,General Practice,2115188877
20311,PROV0418,General Practice,3750619758
20312,PROV0198,Oncology,1751512414
20313,PROV0434,Orthopedics,2911208411
20314,PROV0119,Cardiology,3532650007
20315,PROV0451,Oncology,7475281316
20316,PROV0168,Internal Medicine,9842195463
20317,PROV0118,Cardiology,5456664107
20318,PROV0495,Internal Medicine,9823980187
20319,PROV0120,Surgery,3576960396
20320,PROV0266,Oncology,1967082863
20321,PROV0074,Cardiology,7097228366
20322,PROV0282,Internal Medicine,1212322837
20323,PROV0376,Cardiology,4348666417
20324,PROV0314,Oncology,1112917820
20325,PROV0486,Orthopedics,9410943761
20326,PROV0369,Orthopedics,4964704835
20327,PROV0278,Orthopedics,6548926519
20328,PROV0255,Internal Medicine,2540515747
20329,PROV0291,General Practice,8916320923
20330,PROV0230,Surgery,1752964349
20331,PROV0392,Internal Medicine,8887207043
20332,PROV0114,Internal Medicine,1510928852
20333,PROV0104,Cardiology,4728765037
20334,PROV0474,Cardiology,4682284789
20335,PROV0135,Oncology,8171310327
20336,PROV0106,General Practice,6229916253
20337,PROV0458,Internal Medicine,7442764201
20338,PROV0286,Surgery,5892569264
20339,PROV0369,General Practice,7657270673
20340,PROV0148,Dermatology,3462511408
20341,PROV0274,Cardiology,3938761514
20342,PROV0073,Orthopedics,3228705734
20343,PROV0163,Internal Medicine,1406556047
20344,PROV0457,Surgery,6585305011
20345,PROV0379,General Practice,8477476039
20346,PROV0043,Orthopedics,8548391677
20347,PROV0090,Internal Medicine,1638893421
20348,PROV0316,Oncology,4112097111
20349,PROV0080,Surgery,1777988237
20350,PROV0018,General Practice,5047243365
20351,PROV0267,Orthopedics,7333547549
20352,PROV0195,General Practice,3372831787
20353,PROV0111,Cardiology,4102248099
20354,PROV0013,Internal Medicine,7318544394
20355,PROV0181,Internal Medicine,1153279059
20356,PROV0465,Internal Medicine,1154700080
20357,PROV0187,Neurology,1296211360
20358,PROV0066,General Practice,1543860447
20359,PROV0068,Internal Medicine,1962919820
20360,PROV0138,Cardiology,6662111245
20361,PROV0121,Orthopedics,5552122893
20362,PROV0045,General Practice,6117840982
20363,PROV0249,Pediatrics,8257460247
20364,PROV0228,Orthopedics,7111213811
20365,PROV0158,Internal Medicine,2462070781
20366,PROV0147,Oncology,2041390451
20367,PROV0030,Internal Medicine,6677707328
20368,PROV0118,Orthopedics,8304555083
20369,PROV0065,Internal Medicine,2662168657
20370,PROV0334,Pediatrics,9049981536
20371,PROV0156,General Practice,4609917821
20372,PROV0166,Internal Medicine,9461349334
20373,PROV0266,General Practice,4710572942
20374,PROV0008,Internal Medicine,2949464771
20375,PROV0136,Cardiology,7740564631
20376,PROV0183,Cardiology,2383344845
20377,PROV0363,Cardiology,2132681120
20378,PROV0021,Surgery,1761804024
20379,PROV0444,Internal Medicine,4376452233
20380,PROV0084,General Practice,1425543471
20381,PROV0336,Internal Medicine,2410811752
20382,PROV0226,Cardiology,3435113195
20383,PROV0371,Oncology,5078029846
20384,PROV0381,General Practice,5486969165
20385,PROV0067,Orthopedics,7776350653
20386,PROV0127,Internal Medicine,4732519005
20387,PROV0057,Orthopedics,5735983411
20388,PROV0055,Dermatology,1083932967
20389,PROV0460,General Practice,9094649291
20390,PROV0291,Internal Medicine,6828128796
20391,PROV0155,Internal Medicine,4833672450
20392,PROV0129,Cardiology,5799800482
20393,PROV0091,General Practice,1829639318
20394,PROV0344,Oncology,1613446547
20395,PROV0323,Internal Medicine,3770574424
20396,PROV0091,Surgery,1609527440
20397,PROV0434,Neurology,1637864287
20398,PROV0065,General Practice,3499709647
20399,PROV0221,Cardiology,3944657465
20400,PROV0479,Radiology,7531714168
20401,PROV0460,General Practice,7494937394
20402,PROV0324,General Practice,7412665722
20403,PROV0420,Cardiology,8523718651
20404,PROV0207,General Practice,6125450847
20405,PROV0078,Cardiology,7804198554
20406,PROV0243,Radiology,5438297936
20407,PROV0378,Surgery,6323833745
20408,PROV0200,Pediatrics,3236280270
20409,PROV0249,Surgery,7688807222
20410,PROV0057,General Practice,9823236677
20411,PROV0305,Internal Medicine,4661481998
20412,PROV0197,Internal Medicine,5142971005
20413,PROV0238,Dermatology,5261730984
20414,PROV0397,Pediatrics,6583572847
20415,PROV0255,Internal Medicine,1499054912
20416,PROV0008,Oncology,9952693288
20417,PROV0207,Internal Medicine,2851733813
20418,PROV0121,Internal Medicine,8364332690
20419,PROV0210,General Practice,3990036523
20420,PROV0313,Orthopedics,1358910552
20421,PROV0155,Internal Medicine,5271404135
20422,PROV0304,Cardiology,5801974215
20423,PROV0292,Orthopedics,3926361898
20424,PROV0168,Oncology,5708226484
20425,PROV0423,Surgery,7588420347
20426,PROV0445,Surgery,4363207510
20427,PROV0347,Internal Medicine,8003740029
20428,PROV0217,General Practice,8069575501
20429,PROV0053,Orthopedics,1201928757
20430,PROV0071,Orthopedics,7730489534
20431,PROV0381,Internal Medicine,1240923279
20432,PROV0005,Internal Medicine,8733346139
20433,PROV0109,General Practice,2887377329
20434,PROV0034,Internal Medicine,7107370818
20435,PROV0255,Orthopedics,2206039522
20436,PROV0458,Cardiology,4123526791
20437,PROV0300,Pediatrics,5178914338
20438,PROV0015,General Practice,1371009728
20439,PROV0041,General Practice,6649189715
20440,PROV0186,General Practice,9385023252
20441,PROV0011,General Practice,9804216473
20442,PROV0194,Internal Medicine,2699379337
20443,PROV0042,General Practice,4800781791
20444,PROV0465,Cardiology,6982201472
20445,PROV0443,Cardiology,8405541034
20446,PROV0123,General Practice,7762046588
20447,PROV0020,General Practice,3538776046
20448,PROV0479,Orthopedics,1009283169
20449,PROV0095,Radiology,7716229843
20450,PROV0467,Orthopedics,3595200071
20451,PROV0391,Cardiology,7502194300
20452,PROV0461,Internal Medicine,9250557412
20453,PROV0339,General Practice,6067670436
20454,PROV0162,Orthopedics,9884998359
20455,PROV0086,Internal Medicine,1153032590
20456,PROV0436,Orthopedics,3559599007
20457,PROV0124,Dermatology,2917874464
20458,PROV0422,General Practice,5081904012
20459,PROV0394,Cardiology,2115488018
20460,PROV0182,Cardiology,8833722217
20461,PROV0494,Neurology,2481831305
